Range start,Prefix,Status
2001:1318::,32,Assigned
2001:1350::,32,Allocated
2001:13b0::,29,Allocated
2001:13c7:6001::,48,Assigned
2001:13c7:6007::,48,Assigned
2001:13c7:6008::,48,Assigned
2001:13c7:6009::,48,Assigned
2001:13c7:600a::,48,Assigned
2001:13c7:600b::,48,Assigned
2001:13c7:600c::,48,Assigned
2001:13c7:600d::,48,Assigned
2001:13c7:600e::,48,Assigned
2001:13c7:6010::,44,Assigned
2001:13d0::,29,Allocated
2001:13e8::,32,Allocated
2800:20::,28,Allocated
2800:40::,32,Allocated
2800:48::,32,Allocated
2800:110::,32,Assigned
2800:170::,32,Allocated
2800:190::,32,Allocated
2800:1c0::,32,Assigned
2800:220::,32,Allocated
2800:240::,32,Allocated
2800:2b0::,32,Allocated
2800:340::,32,Assigned
2800:380::,32,Allocated
2800:381::,32,Allocated
2800:3d0::,32,Allocated
2800:3f0::,32,Assigned
2801:0:90::,48,Assigned
2801:0:140::,48,Assigned
2801:0:141::,48,Assigned
2801:0:160::,48,Assigned
2801:0:190::,48,Assigned
2801:0:1b0::,48,Assigned
2801:0:1b1::,48,Assigned
2801:0:1b2::,47,Assigned
2801:0:1b4::,46,Assigned
2801:0:1b8::,45,Assigned
2801:0:1d0::,45,Assigned
2801:0:220::,44,Assigned
2801:0:250::,48,Assigned
2801:0:260::,48,Assigned
2801:0:290::,48,Assigned
2801:0:2f0::,48,Assigned
2801:0:350::,48,Assigned
2801:0:3e0::,48,Assigned
2801:0:3f0::,48,Assigned
2801:0:440::,48,Assigned
2801:10::,45,Assigned
2801:10:1000::,48,Assigned
2801:10:1800::,48,Assigned
2801:10:2000::,48,Assigned
2801:10:4000::,48,Assigned
2801:10:4800::,48,Assigned
2801:10:8000::,48,Assigned
2801:10:a000::,48,Assigned
2801:10:d000::,48,Assigned
2801:10:e000::,48,Assigned
2801:11::,48,Assigned
2801:11:2000::,48,Assigned
2801:11:6000::,48,Assigned
2801:11:7000::,48,Assigned
2801:11:b000::,48,Assigned
2801:11:c000::,48,Assigned
2801:11:d000::,48,Assigned
2801:11:e800::,48,Assigned
2801:11:f000::,48,Assigned
2801:12:5000::,48,Assigned
2801:12:8000::,48,Assigned
2801:12:9000::,48,Assigned
2801:12:a800::,48,Assigned
2801:12:b000::,48,Assigned
2801:12:c000::,48,Assigned
2801:13:800::,48,Assigned
2801:13:1000::,48,Assigned
2801:13:2000::,48,Assigned
2801:13:5000::,48,Assigned
2801:13:9000::,48,Assigned
2801:13:b000::,48,Assigned
2801:13:d000::,48,Assigned
2801:14:2000::,48,Assigned
2801:14:a800::,48,Assigned
2801:14:b000::,48,Assigned
2801:15:2800::,48,Assigned
2801:15:b000::,48,Assigned
2801:16:1000::,48,Assigned
2801:16:4000::,48,Assigned
2801:16:6000::,48,Assigned
2801:16:7000::,48,Assigned
2801:16:8800::,48,Assigned
2801:16:c000::,48,Assigned
2801:16:d000::,48,Assigned
2801:17:6000::,48,Assigned
2801:17:e000::,48,Assigned
2801:18:4800::,48,Assigned
2801:18:6000::,48,Assigned
2801:18:8000::,48,Assigned
2801:18:c000::,48,Assigned
2801:18:c800::,48,Assigned
2801:18:f000::,48,Assigned
2801:19::,48,Assigned
2801:19:800::,48,Assigned
2801:19:7000::,48,Assigned
2801:19:8800::,48,Assigned
2801:19:9000::,48,Assigned
2801:19:b000::,48,Assigned
2801:19:c000::,48,Assigned
2801:19:f000::,48,Assigned
2801:1a:5000::,48,Assigned
2801:1a:a000::,48,Assigned
2801:1b:5000::,48,Assigned
2801:1b:a000::,48,Assigned
2801:1b:f000::,48,Assigned
2801:1c:1000::,48,Assigned
2801:1c:7000::,48,Assigned
2801:1c:b000::,48,Assigned
2801:1c:d000::,48,Assigned
2801:1d:1000::,48,Assigned
2801:1d:3000::,48,Assigned
2801:1d:5000::,48,Assigned
2801:1d:8000::,48,Assigned
2801:1d:c000::,48,Assigned
2801:1d:f000::,48,Assigned
2801:1e:1000::,48,Assigned
2801:1e:2000::,48,Assigned
2801:1e:4000::,45,Assigned
2801:1e:7000::,48,Assigned
2801:1e:a000::,48,Assigned
2801:1e:a800::,48,Assigned
2801:1e:b000::,48,Assigned
2801:1f::,48,Assigned
2801:1f:800::,48,Assigned
2801:1f:3000::,48,Assigned
2801:1f:6000::,48,Assigned
2801:1f:7000::,48,Assigned
2801:1f:8000::,48,Assigned
2801:1f:9000::,48,Assigned
2801:1f:e000::,48,Assigned
2801:100::,40,Assigned
2801:118::,40,Assigned
2801:120::,32,Assigned
2801:140::,32,Assigned
2801:168::,40,Assigned
2801:17a::,44,Assigned
2801:188::,40,Assigned
2801:1a4::,44,Assigned
2801:1c0::,39,Assigned
2801:1dc::,44,Assigned
2801:1e0::,41,Assigned
2801:1e8::,40,Assigned
2801:1f0::,32,Assigned